time,x,y
0.0,0.0,-5.0
0.02,0.00012,-4.98560003110398
0.04,0.00048,-4.971200248831355
0.06,0.00108,-4.956800839803102
0.08,0.00192,-4.942401990635361
0.1,0.0030000000000000005,-4.928003887937015
0.12,0.00432,-4.913606718307274
0.14,0.005880000000000001,-4.899210668333254
0.16,0.00768,-4.884815924587561
0.18,0.00972,-4.870422673625874
0.2,0.012000000000000002,-4.856031101984523
0.22,0.014519999999999998,-4.841641396178075
0.24,0.01728,-4.827253742696916
0.26,0.020280000000000003,-4.812868328004834
0.28,0.023520000000000003,-4.798485338536602
0.3,0.027,-4.7841049606955615
0.32,0.03072,-4.769727380851209
0.34,0.03468,-4.755352785336777
0.36,0.03888,-4.740981360446824
0.38,0.04332,-4.726613292434813
0.4,0.04800000000000001,-4.712248767510706
0.42,0.05291999999999999,-4.6978879718385445
0.44,0.05807999999999999,-4.6835310915340385
0.46,0.06348,-4.669178312662158
0.48,0.06912,-4.654829821234714
0.5,0.075,-4.640485803207956
0.52,0.08112000000000001,-4.626146444480156
0.54,0.08748,-4.611811930889203
0.56,0.09408000000000001,-4.597482448210192
0.58,0.10092,-4.583158182153019
0.6,0.108,-4.56883931835997
0.62,0.11532,-4.554526042403321
0.64,0.12288,-4.540218539782926
0.66,0.13068000000000002,-4.525916995923821
0.68,0.13872,-4.511621596173813
0.7000000000000001,0.14700000000000002,-4.497332525801083
0.72,0.15552,-4.483049969991782
0.74,0.16427999999999998,-4.468774113847636
0.76,0.17328,-4.454505142383537
0.78,0.18252000000000002,-4.4402432405251595
0.8,0.19200000000000003,-4.425988593106549
0.8200000000000001,0.20172000000000004,-4.411741384867737
0.84,0.21167999999999995,-4.3975018004523445
0.86,0.22187999999999997,-4.383270024405184
0.88,0.23231999999999997,-4.369046241169876
0.9,0.243,-4.354830635086451
0.92,0.25392,-4.340623390388964
0.9400000000000001,0.26508000000000004,-4.326424691203108
0.96,0.27648,-4.312234721543828
0.98,0.28812,-4.2980536653129295
1.0,0.3,-4.283881706296703
1.02,0.31212,-4.26971902816354
1.04,0.32448000000000005,-4.2555658144615505
1.06,0.33708000000000005,-4.241422248616185
1.08,0.34992,-4.227288513927862
1.1,0.36300000000000004,-4.213164793569581
1.12,0.37632000000000004,-4.199051270584563
1.1400000000000001,0.38988000000000006,-4.1849481278838665
1.16,0.40368,-4.170855548244026
1.18,0.4177199999999999,-4.1567737143046735
1.2,0.432,-4.142702808566182
1.22,0.44652,-4.128643013387292
1.24,0.46128,-4.114594510982752
1.26,0.47628000000000004,-4.100557483420957
1.28,0.49152,-4.086532112621588
1.3,0.507,-4.072518580353253
1.32,0.5227200000000001,-4.058517068231135
1.34,0.53868,-4.0445277577146355
1.36,0.55488,-4.030550830105022
1.3800000000000001,0.57132,-4.016586466543081
1.4000000000000001,0.5880000000000001,-4.002634848006769
1.42,0.60492,-3.9886961553088676
1.44,0.62208,-3.9747705690946376
1.46,0.6394799999999999,-3.960858269839483
1.48,0.6571199999999999,-3.946959437846606
1.5,0.6749999999999999,-3.9330742532446754
1.52,0.69312,-3.9192028959854897
1.54,0.71148,-3.9053455458416435
1.56,0.7300800000000001,-3.891502382404202
1.58,0.7489200000000001,-3.8776735850803696
1.6,0.7680000000000001,-3.863859333091165
1.62,0.7873200000000001,-3.850059805469101
1.6400000000000001,0.8068800000000002,-3.8362751810558633
1.6600000000000001,0.8266800000000001,-3.8225056384999903
1.68,0.8467199999999998,-3.808751356254561
1.7,0.8669999999999999,-3.795012512574881
1.72,0.8875199999999999,-3.7812892855161726
1.74,0.90828,-3.767581852931266
1.76,0.9292799999999999,-3.7538903924682945
1.78,0.95052,-3.7402150815683957
1.8,0.972,-3.7265560974634067
1.82,0.99372,-3.7129136171735704
1.84,1.01568,-3.699287817505241
1.86,1.0378800000000001,-3.6856788750485903
1.8800000000000001,1.0603200000000002,-3.672086966175323
1.9000000000000001,1.083,-3.658512267036387
1.92,1.10592,-3.6449549535596946
1.94,1.1290799999999999,-3.6314152014478376
1.96,1.15248,-3.617893186175813
1.98,1.1761199999999998,-3.6043890829887513
2.0,1.2,-3.5909030668996405
2.02,1.2241199999999999,-3.577435312687059
2.04,1.24848,-3.563985994892914
2.06,1.27308,-3.5505552878201754
2.08,1.2979200000000002,-3.5371433655306195
2.1,1.323,-3.5237504018425705
2.12,1.3483200000000002,-3.510376570328651
2.14,1.37388,-3.4970220443135305
2.16,1.39968,-3.483686996871678
2.18,1.42572,-3.470371600825123
2.2,1.4520000000000002,-3.457076028741212
2.22,1.4785200000000003,-3.443800452930372
2.24,1.5052800000000002,-3.43054504544388
2.2600000000000002,1.5322800000000003,-3.417309978071632
2.2800000000000002,1.5595200000000002,-3.4040954223399154
2.3000000000000003,1.5870000000000002,-3.390901549509188
2.32,1.61472,-3.377728530571857
2.34,1.6426799999999997,-3.3645765362500626
2.36,1.6708799999999997,-3.351445736993468
2.38,1.69932,-3.3383363029770474
2.4,1.728,-3.325248404098882
2.42,1.7569199999999998,-3.3121822099779585
2.44,1.78608,-3.29913788995197
2.46,1.8154799999999998,-3.286115613075121
2.48,1.84512,-3.2731155481159373
2.5,1.875,-3.2601378635550793
2.52,1.9051200000000001,-3.247182727583157
2.54,1.9354799999999999,-3.2342503080985514
2.56,1.96608,-3.2213407727052386
2.58,1.99692,-3.2084542887106156
2.6,2.028,-3.195591023123335
2.62,2.05932,-3.1827511426511386
2.64,2.0908800000000003,-3.1699348136986982
2.66,2.12268,-3.157142202365457
2.68,2.15472,-3.144373474443479
2.7,2.1870000000000003,-3.1316287954152995
2.72,2.21952,-3.11890833045178
2.74,2.2522800000000003,-3.106212244409969
2.7600000000000002,2.28528,-3.093540701830963
2.7800000000000002,2.3185200000000004,-3.0808938669377772
2.8000000000000003,2.3520000000000003,-3.0682719036332147
2.82,2.3857199999999996,-3.055674975497743
2.84,2.41968,-3.0431032457873743
2.86,2.4538799999999994,-3.0305568774315503
2.88,2.48832,-3.0180360330310285
2.9,2.523,-3.005540874855778
2.92,2.5579199999999997,-2.993071564842873
2.94,2.5930799999999996,-2.980628264594397
2.96,2.6284799999999997,-2.968211135375347
2.98,2.66412,-2.955820338111544
3.0,2.6999999999999997,-2.9434560333875472
3.02,2.73612,-2.9311183814445734
3.04,2.77248,-2.9188075421784174
3.06,2.80908,-2.9065236751373855
3.08,2.84592,-2.894266939520221
3.1,2.8830000000000005,-2.882037494174048
3.12,2.9203200000000002,-2.869835497592305
3.14,2.95788,-2.8576611079126972
3.16,2.9956800000000006,-2.845514482915146
3.18,3.03372,-2.83339578001974
3.2,3.0720000000000005,-2.8213051562846996
3.22,3.11052,-2.8092427684043386
3.24,3.1492800000000005,-2.797208772707035
3.2600000000000002,3.1882800000000002,-2.7852033251532062
3.2800000000000002,3.2275200000000006,-2.773226581333283
3.3000000000000003,3.267000000000001,-2.7612786964656983
3.3200000000000003,3.3067200000000003,-2.7493598253948717
3.34,3.3466799999999997,-2.737470122589207
3.36,3.3868799999999992,-2.725609742139085
3.38,3.4273199999999995,-2.713778837754871
3.4,3.4679999999999995,-2.7019775627649194
3.42,3.5089199999999994,-2.69020607011359
3.44,3.5500799999999995,-2.678464512359262
3.46,3.5914800000000002,-2.6667530416723593
3.48,3.63312,-2.6550718098333794
3.5,3.675,-2.643420968230922
3.52,3.7171199999999995,-2.631800667859732
3.54,3.75948,-2.620211059318739
3.56,3.80208,-2.6086522928091083
3.58,3.8449199999999997,-2.5971245181322913
3.6,3.888,-2.585627884688087
3.62,3.93132,-2.5741625414727034
3.64,3.97488,-2.5627286370768285
3.66,4.018680000000001,-2.551326319683703
3.68,4.06272,-2.539955737067201
3.7,4.107,-2.5286170365899134
3.72,4.1515200000000005,-2.517310365201241
3.74,4.196280000000001,-2.506035869435485
3.7600000000000002,4.241280000000001,-2.494793695409954
3.7800000000000002,4.28652,-2.483583988823066
3.8000000000000003,4.332,-2.4724068949524605
3.8200000000000003,4.37772,-2.4612625586531185
3.84,4.42368,-2.4501511243554823
3.86,4.46988,-2.4390727360635847
3.88,4.5163199999999994,-2.428027537353183
3.9,4.563,-2.4170156713698976
3.92,4.60992,-2.406037280827358
3.94,4.65708,-2.395092508005351
3.96,4.704479999999999,-2.3841814947479807
3.98,4.75212,-2.3733043824618254
4.0,4.8,-2.3624613121141076
4.0200000000000005,4.848120000000001,-2.351652424230868
4.04,4.8964799999999995,-2.3408778588951416
4.0600000000000005,4.945080000000001,-2.330137755745145
4.08,4.99392,-2.3194322539724648
4.1,5.042999999999999,-2.3087614923202535
4.12,5.09232,-2.2981256090814326
4.14,5.14188,-2.287524742096901
4.16,5.191680000000001,-2.2769590287537453
4.18,5.241719999999999,-2.2664286059834637
4.2,5.292,-2.255933610260187
4.22,5.3425199999999995,-2.2454741775989135
4.24,5.393280000000001,-2.2350504435537433
4.26,5.444279999999999,-2.224662543216125
