time,x,y
0.0,0.04086392189053314,-5.025700172645248
0.02,-0.08254120043424779,-4.908966097737057
0.04,-0.03906301702722911,-5.0493116612786775
0.06,0.030350617921634692,-4.838476119120114
0.08,-0.034896594322176365,-4.91762640200684
0.1,-0.06097488829039552,-4.916237004657724
0.12,0.11159727548541479,-4.835607825254576
0.14,-0.13431899557092505,-4.953130427422146
0.16,-0.07647694339966009,-4.904764041824195
0.18,-0.04440035517080848,-4.752211878563085
0.2,-0.09706386430073309,-4.8871498477529265
0.22,0.031235354684616003,-4.754752765617489
0.24,0.07669845435600937,-4.841312185371043
0.26,0.11886195349225107,-4.718221101469632
0.28,0.04679490720114153,-4.716016366154033
0.3,-0.039971010717765806,-4.672149111534774
0.32,-0.08216396111302873,-4.810654660038874
0.34,-0.0219323879302381,-4.67251232177588
0.36,0.11149346503325822,-4.593042927240707
0.38,-0.05394140362783302,-4.790212248028178
0.4,-0.025023938608201714,-4.6418520864386235
0.42,0.047153522010714814,-4.6391383381706435
0.44,-0.0385870181053152,-4.7116650859866045
0.46,-0.012813397650993527,-4.612421216276689
0.48,-0.09858791100714077,-4.756360140216582
0.5,0.10121825116171505,-4.5410110507028065
0.52,0.24696947627017007,-4.549283239466157
0.54,0.06920536926482836,-4.657772730407303
0.56,0.0998874519691149,-4.616439740716826
0.58,0.12240872718816552,-4.613555223621397
0.6,0.14401905826834707,-4.460452513162204
0.62,0.24793655630648587,-4.556068780134934
0.64,0.015670576085250645,-4.405097374200852
0.66,0.14386278133361782,-4.3434686168263354
0.68,0.14421744083338434,-4.705083242225867
0.7000000000000001,0.10139434589957688,-4.556007184213028
0.72,0.09678773922616551,-4.426813310030471
0.74,0.03744284819790478,-4.485703873890803
0.76,0.11412800470810863,-4.488496131781989
0.78,0.12749617525235238,-4.464650082054275
0.8,0.33373495405304643,-4.527158225862155
0.8200000000000001,0.16411977595730312,-4.308782594761378
0.84,0.1516903147032998,-4.433901579954866
0.86,0.29167379305360636,-4.354267526308507
0.88,0.2913879510169636,-4.42875141173582
0.9,0.13985883469538313,-4.450415929917797
0.92,0.272728822045696,-4.279424962500982
0.9400000000000001,0.31486647713363136,-4.454151674687264
0.96,0.36237105811439685,-4.29052245669673
0.98,0.38815718665548965,-4.249296001309742
1.0,0.2675990050540642,-4.313228937965973
1.02,0.378806647112314,-4.295039311470784
1.04,0.2511451372945421,-4.271392249780889
1.06,0.2593442327238127,-4.144612526700499
1.08,0.392049381379085,-4.268152757400494
1.1,0.2514659572401434,-4.213386063872542
1.12,0.3570311496111028,-4.211975157051478
1.1400000000000001,0.4065464919018044,-4.093906563630349
1.16,0.39906147061856734,-4.154297529827356
1.18,0.39176433828377755,-4.1782698074300075
1.2,0.44402716766736433,-4.054055047401364
1.22,0.5205864931718873,-4.186326791164184
1.24,0.45896349994626845,-4.036477353967255
1.26,0.5174185970994558,-3.863364570236313
1.28,0.46323061847752517,-4.219626337409411
