time_ns,lat,lon,alt
1765228096496553525,42.332745,-71.10490666666666,181.1
1765228097496730915,42.33273833333333,-71.10490333333334,181.3
1765228098498106641,42.33273333333333,-71.10489833333334,181.6
1765228099501636206,42.33273166666667,-71.10489666666666,182.0
1765228100498514758,42.33271833333333,-71.10488666666667,182.1
1765228101496835355,42.33271166666667,-71.10487333333333,182.5
1765228102496725373,42.33271333333333,-71.10486833333333,183.0
1765228103501709359,42.33272,-71.10486833333333,183.4
1765228104503224548,42.332723333333334,-71.10487,183.9
1765228105496988555,42.332726666666666,-71.10487,184.4
1765228106501969710,42.332726666666666,-71.10487166666667,185.0
1765228107496726346,42.33273,-71.10487,185.6
1765228108497032201,42.33273166666667,-71.10487166666667,186.2
1765228109496511722,42.332723333333334,-71.10486,186.7
1765228110503536175,42.33272,-71.104855,186.1
1765228111501866653,42.33271666666667,-71.10484833333334,185.7
1765228112501958219,42.332708333333336,-71.10484166666667,185.9
1765228113496823483,42.332701666666665,-71.10483333333333,186.2
1765228114497348259,42.3327,-71.10483,186.4
1765228115496198282,42.33269333333333,-71.10481166666666,186.6
1765228116498720313,42.33269666666666,-71.10481,186.9
1765228117502425597,42.33269333333333,-71.10480666666666,187.2
1765228118498904576,42.33269833333333,-71.104805,187.5
1765228119496635141,42.33269833333333,-71.104805,187.4
1765228120502411889,42.3327,-71.104805,187.3
1765228121496729282,42.33270666666667,-71.10480666666666,187.2
1765228122498257190,42.33271333333333,-71.10480666666666,187.2
1765228123496502508,42.33272,-71.1048,187.3
1765228124503379469,42.332715,-71.10479,187.4
1765228125502690499,42.33271333333333,-71.10478666666667,187.6
1765228126496661227,42.33271,-71.104785,187.8
1765228127501434894,42.33270666666667,-71.10478,187.9
1765228128498297255,42.332705,-71.10477333333333,188.0
1765228129497088577,42.332701666666665,-71.10476166666666,188.2
1765228130498470364,42.33269666666666,-71.104755,188.5
1765228131502832033,42.33269166666667,-71.10475166666667,188.9
1765228132502462192,42.33268833333333,-71.10475,188.6
1765228133501619060,42.33269166666667,-71.104745,188.3
1765228134497432630,42.332695,-71.10474,188.4
1765228135496960458,42.33269833333333,-71.10473833333333,188.6
1765228136496594411,42.33269833333333,-71.10473333333333,188.7
1765228137496951200,42.33269833333333,-71.10473,188.9
1765228138502229291,42.33269166666667,-71.10472833333333,189.0
1765228139496334777,42.33268833333333,-71.10472666666666,189.2
1765228140498648446,42.332685,-71.104725,189.4
